Drawing
Date	Winning Numbers
08/31/2010	10-20-29-47-48 38
08/27/2010	04-10-26-32-41 31
08/24/2010	04-23-24-28-32 31
08/20/2010	04-13-20-29-48 36
08/17/2010	11-19-40-43-44 33
08/13/2010	06-17-24-43-55 36
08/10/2010	02-14-26-50-56 12
08/06/2010	07-13-30-33-54 30
08/03/2010	04-13-20-22-56 32
07/30/2010	11-30-40-48-52 42
07/27/2010	02-07-10-16-29 8
07/23/2010	16-19-39-44-49 26
07/20/2010	12-18-28-36-43 19
07/16/2010	02-15-18-20-39 34
07/13/2010	07-11-14-15-34 14
07/09/2010	01-31-33-34-50 41
07/06/2010	08-18-45-47-50 36
07/02/2010	01-10-12-32-36 25
06/29/2010	03-04-15-27-37 35
06/25/2010	01-02-13-19-27 21
06/22/2010	12-17-21-23-30 24
06/18/2010	11-36-37-41-55 7
06/15/2010	04-12-13-21-27 46
06/11/2010	06-13-33-34-42 25
06/08/2010	12-18-28-48-54 6
06/04/2010	12-13-15-17-50 23
06/01/2010	12-27-44-45-51 30
05/28/2010	03-11-20-29-39 26
05/25/2010	05-14-17-19-24 25
05/21/2010	15-20-23-26-30 17
05/18/2010	11-13-19-37-40 26
05/14/2010	20-21-40-47-56 12
05/11/2010	26-33-43-46-54 9
05/07/2010	02-07-20-34-50 40
05/04/2010	09-21-31-36-43 8
04/30/2010	14-20-41-47-53 40
04/27/2010	23-37-41-50-55 6
04/23/2010	19-26-28-37-52 18
04/20/2010	05-08-10-34-42 25
04/16/2010	10-16-31-48-50 44
04/13/2010	03-12-27-39-47 32
04/09/2010	15-18-39-48-53 3
04/06/2010	16-43-44-52-56 26
04/02/2010	02-17-22-30-31 19
03/30/2010	01-11-24-38-44 41
03/26/2010	23-41-46-47-52 22
03/23/2010	03-25-28-29-40 13
03/19/2010	10-31-45-50-54 25
03/16/2010	03-22-48-52-56 13
03/12/2010	02-15-25-48-53 41
03/09/2010	14-16-18-19-29 16
03/05/2010	11-31-34-44-52 32
03/02/2010	09-12-47-48-56 25
02/26/2010	04-14-29-54-56 40
02/23/2010	04-16-36-40-53 18
02/19/2010	01-22-39-42-46 36
02/16/2010	11-12-21-29-45 5
02/12/2010	14-16-17-33-47 23
02/09/2010	02-17-20-26-48 12
02/05/2010	10-20-45-51-53 41
02/02/2010	06-07-26-27-49 9
01/29/2010	01-10-22-23-38 19
01/26/2010	07-08-38-39-48 22
01/22/2010	08-13-27-28-52 9
01/19/2010	04-05-34-38-41 18
01/15/2010	04-07-19-21-38 29
01/12/2010	05-09-31-37-56 16
01/08/2010	18-20-31-36-43 33
01/05/2010	13-28-39-50-55 10
01/01/2010	06-08-27-40-41 21
12/29/2009	02-05-29-35-51 3
12/25/2009	04-16-44-52-54 20
12/22/2009	03-33-35-39-45 13
12/18/2009	10-20-30-44-49 24
12/15/2009	27-31-32-36-47 35
12/11/2009	02-21-27-34-44 45
12/08/2009	20-23-28-30-46 29
12/04/2009	04-33-41-51-56 38
12/01/2009	17-30-39-52-53 21
11/27/2009	12-25-37-39-45 11
11/24/2009	10-11-35-37-50 12
11/20/2009	03-04-07-16-56 39
11/17/2009	08-22-27-49-50 28
11/13/2009	27-43-45-49-54 44
11/10/2009	08-21-29-34-37 15
11/06/2009	07-11-27-40-46 8
11/03/2009	05-18-23-31-38 20
10/30/2009	04-15-17-29-38 20
10/27/2009	07-13-37-46-51 2
10/23/2009	27-45-48-54-56 2
10/20/2009	13-17-25-45-55 8
10/16/2009	10-13-18-33-51 43
10/13/2009	17-31-34-45-51 24
10/09/2009	03-14-21-24-51 14
10/06/2009	09-33-51-53-56 39
10/02/2009	15-24-51-53-55 11
09/29/2009	02-21-25-45-50 21
09/25/2009	07-27-42-49-52 19
09/22/2009	26-29-33-39-46 24
09/18/2009	18-27-31-36-52 33
09/15/2009	29-30-32-35-41 39
09/11/2009	16-27-48-49-54 2
09/08/2009	04-10-18-28-50 35
09/04/2009	02-04-06-21-44 37
09/01/2009	02-09-28-51-53 19
08/28/2009	01-17-31-37-54 31
08/25/2009	03-12-19-22-40 2
08/21/2009	09-38-44-48-49 13
08/18/2009	04-05-26-37-56 25
08/14/2009	08-22-25-33-35 46
08/11/2009	06-12-15-32-42 40
08/07/2009	07-18-35-45-56 3
08/04/2009	01-28-34-42-50 27
07/31/2009	17-35-44-52-56 22
07/28/2009	04-17-24-25-48 34
07/24/2009	03-06-43-51-52 36
07/21/2009	03-08-21-50-52 2
07/17/2009	08-17-40-47-50 13
07/14/2009	20-29-35-45-53 41
07/10/2009	05-10-26-27-28 4
07/07/2009	25-27-35-38-39 28
07/03/2009	05-06-07-11-25 31
06/30/2009	07-34-49-54-55 34
06/26/2009	11-15-17-29-46 16
06/23/2009	12-14-16-31-50 9
06/19/2009	04-09-12-16-46 44
06/16/2009	09-15-21-26-45 25
06/12/2009	06-11-20-32-44 38
06/09/2009	05-17-31-36-56 46
06/05/2009	05-20-38-41-52 20
06/02/2009	09-13-26-30-35 33
05/29/2009	23-30-36-39-48 34
05/26/2009	09-18-21-37-55 33
05/22/2009	03-29-34-42-49 29
05/19/2009	02-04-09-15-42 13
05/15/2009	07-12-24-36-48 27
05/12/2009	04-08-10-14-51 31
05/08/2009	12-27-29-32-34 34
05/05/2009	05-23-38-39-54 3
05/01/2009	09-16-24-40-43 35
04/28/2009	15-20-24-36-44 6
04/24/2009	09-20-21-48-49 7
04/21/2009	05-24-37-47-52 6
04/17/2009	05-13-26-35-45 32
04/14/2009	04-11-22-48-50 42
04/10/2009	18-25-36-42-51 22
04/07/2009	02-04-13-17-36 15
04/03/2009	16-22-38-39-48 42
03/31/2009	14-39-47-48-53 29
03/27/2009	10-15-24-38-50 19
03/24/2009	04-25-34-43-44 45
03/20/2009	15-16-20-39-40 26
03/17/2009	09-15-24-28-31 17
03/13/2009	10-12-26-46-50 23
03/10/2009	02-27-31-39-40 23
03/06/2009	11-18-37-46-55 45
03/03/2009	26-32-35-43-52 10
02/27/2009	24-37-44-50-56 35
02/24/2009	01-27-28-35-40 6
02/20/2009	21-28-41-45-55 24
02/17/2009	01-09-23-27-33 24
02/13/2009	25-36-37-40-51 20
02/10/2009	18-29-38-43-47 7
02/06/2009	02-12-18-28-31 3
02/03/2009	04-15-29-43-56 29
01/30/2009	13-16-19-53-55 2
01/27/2009	03-11-12-14-21 25
01/23/2009	02-17-20-27-28 7
01/20/2009	01-09-10-35-46 9
01/16/2009	02-04-21-39-51 29
01/13/2009	22-25-33-36-48 40
01/09/2009	23-25-30-45-50 8
01/06/2009	03-11-12-19-33 30
01/02/2009	02-11-19-21-34 38
12/30/2008	01-22-29-44-52 39
12/26/2008	06-19-29-33-37 31
12/23/2008	01-08-13-27-41 45
12/19/2008	03-13-16-39-54 32
12/16/2008	10-14-16-29-40 6
12/12/2008	10-16-19-27-48 25
12/09/2008	11-12-26-31-33 27
12/05/2008	21-27-46-52-55 14
12/02/2008	02-17-22-32-51 35
11/28/2008	10-30-44-46-48 44
11/25/2008	02-11-22-51-52 46
11/21/2008	01-22-52-53-56 45
11/18/2008	10-15-22-52-53 12
11/14/2008	03-18-19-30-34 3
11/11/2008	05-27-38-42-55 41
11/07/2008	14-24-32-43-44 21
11/04/2008	10-21-23-41-55 9
10/31/2008	02-07-17-29-47 40
10/28/2008	06-39-45-46-48 36
10/24/2008	05-33-34-47-52 18
10/21/2008	16-19-39-42-44 38
10/17/2008	07-15-27-28-31 35
10/14/2008	14-35-41-42-51 23
10/10/2008	14-15-43-46-48 21
10/07/2008	02-25-35-38-42 34
10/03/2008	13-28-32-41-52 16
09/30/2008	09-30-35-39-49 36
09/26/2008	06-13-14-31-36 36
09/23/2008	09-32-34-43-52 4
09/19/2008	02-09-41-48-51 37
09/16/2008	13-24-39-51-52 44
09/12/2008	01-12-14-25-35 38
09/09/2008	22-23-28-49-52 2
09/05/2008	01-06-15-27-46 39
09/02/2008	14-23-43-44-54 39
08/29/2008	21-25-26-50-51 22
08/26/2008	06-16-24-34-36 30
08/22/2008	12-13-15-41-42 37
08/19/2008	09-18-19-26-40 38
08/15/2008	08-23-29-30-53 7
08/12/2008	02-07-23-38-40 40
08/08/2008	11-17-28-32-50 33
08/05/2008	09-21-36-38-55 13
08/01/2008	09-13-17-18-56 2
07/29/2008	11-13-20-30-42 3
07/25/2008	02-16-19-35-52 17
07/22/2008	02-16-23-29-32 46
07/18/2008	17-29-36-53-55 26
07/15/2008	19-24-34-45-51 40
07/11/2008	05-14-16-39-51 34
07/08/2008	01-20-22-29-41 35
07/04/2008	01-03-12-19-20 28
07/01/2008	01-22-33-43-52 36
06/27/2008	08-14-22-39-50 44
06/24/2008	10-22-36-50-53 39
06/20/2008	11-17-25-36-42 13
06/17/2008	05-14-25-47-49 36
06/13/2008	08-09-14-38-44 36
06/10/2008	03-05-15-43-51 11
06/06/2008	08-09-43-44-54 27
06/03/2008	04-19-24-32-54 5
05/30/2008	39-40-47-53-55 32
05/27/2008	14-24-32-45-49 17
05/23/2008	04-08-11-22-30 4
05/20/2008	02-14-26-32-41 32
05/16/2008	06-11-39-46-47 26
05/13/2008	20-24-27-31-47 15
05/09/2008	16-31-43-46-56 22
05/06/2008	04-21-46-53-54 26
05/02/2008	08-28-37-53-55 26
04/29/2008	19-24-35-44-51 26
04/25/2008	19-32-37-45-52 41
04/22/2008	03-22-31-48-54 9
04/18/2008	24-28-36-50-53 29
04/15/2008	12-13-27-48-50 30
04/11/2008	14-18-27-31-42 7
04/08/2008	08-09-31-37-44 38
04/04/2008	03-05-40-45-49 17
04/01/2008	04-17-26-46-56 25
03/28/2008	07-26-27-40-43 10
03/25/2008	38-42-43-48-53 12
03/21/2008	05-08-17-19-41 21
03/18/2008	13-15-20-25-44 37
03/14/2008	03-12-18-25-52 21
03/11/2008	04-13-35-41-47 44
03/07/2008	19-32-33-41-48 12
03/04/2008	07-15-30-33-56 22
02/29/2008	05-17-22-26-55 38
02/26/2008	09-12-30-36-55 15
02/22/2008	07-12-13-19-22 10
02/19/2008	01-38-42-55-56 34
02/15/2008	07-11-26-30-53 14
02/12/2008	14-27-39-47-50 12
02/08/2008	21-30-43-46-50 18
02/05/2008	04-05-17-40-51 38
02/01/2008	03-14-30-44-56 5
01/29/2008	08-23-39-40-42 24
01/25/2008	05-12-22-38-56 22
01/22/2008	12-15-22-25-33 2
01/18/2008	12-22-33-43-44 15
01/15/2008	21-30-42-44-50 6
01/11/2008	22-36-42-45-55 42
01/08/2008	10-29-45-52-54 10
01/04/2008	24-31-39-40-56 32
01/01/2008	13-16-25-30-54 11
12/28/2007	02-19-22-28-54 25
12/25/2007	19-36-37-48-52 8
12/21/2007	14-19-20-43-53 7
12/18/2007	03-23-46-48-49 2
12/14/2007	04-07-12-17-30 44
12/11/2007	06-25-27-30-45 46
12/07/2007	12-18-26-28-51 35
12/04/2007	16-27-30-45-53 43
11/30/2007	05-06-12-26-51 7
11/27/2007	09-10-26-29-39 10
11/23/2007	18-21-33-42-56 11
11/20/2007	14-20-23-42-43 6
11/16/2007	12-13-30-31-39 29
11/13/2007	15-26-36-39-40 45
11/09/2007	11-33-41-42-46 21
11/06/2007	03-17-43-46-47 2
11/02/2007	01-03-34-49-52 19
10/30/2007	02-08-44-46-51 22
10/26/2007	12-20-24-38-51 3
10/23/2007	02-07-45-52-53 18
10/19/2007	05-15-18-23-46 14
10/16/2007	01-02-05-41-44 25
10/12/2007	21-26-34-44-54 23
10/09/2007	01-10-17-32-51 44
10/05/2007	10-19-37-40-48 1
10/02/2007	28-37-40-43-44 20
09/28/2007	04-13-20-25-33 42
09/25/2007	02-19-23-47-54 16
09/21/2007	05-21-23-33-45 43
09/18/2007	20-24-31-34-49 8
09/14/2007	05-09-12-33-40 27
09/11/2007	09-10-17-21-35 6
09/07/2007	14-19-27-34-48 3
09/04/2007	03-06-11-42-46 38
08/31/2007	08-18-22-40-44 11
08/28/2007	37-40-48-53-56 44
08/24/2007	04-21-46-51-53 5
08/21/2007	08-38-54-55-56 2
08/17/2007	02-08-33-38-53 12
08/14/2007	05-08-09-24-34 17
08/10/2007	10-20-32-33-54 39
08/07/2007	36-41-50-55-56 9
08/03/2007	16-29-42-46-51 40
07/31/2007	05-18-37-39-43 42
07/27/2007	07-12-35-54-55 2
07/24/2007	08-17-20-23-50 17
07/20/2007	06-13-30-41-52 26
07/17/2007	16-30-38-46-51 5
07/13/2007	07-39-41-48-53 21
07/10/2007	19-24-30-34-56 19
07/06/2007	03-09-12-25-47 37
07/03/2007	21-35-37-39-40 35
06/29/2007	01-17-40-51-52 7
06/26/2007	04-10-20-29-45 21
06/22/2007	11-14-21-24-31 23
06/19/2007	05-16-31-49-54 19
06/15/2007	01-05-16-26-30 21
06/12/2007	03-13-19-31-50 21
06/08/2007	06-26-29-31-39 31
06/05/2007	27-35-38-49-56 15
06/01/2007	12-19-29-32-48 9
05/29/2007	02-24-44-51-54 7
05/25/2007	10-14-22-42-43 1
05/22/2007	02-07-11-22-36 35
05/18/2007	13-23-24-30-44 5
05/15/2007	06-13-42-46-56 42
05/11/2007	28-30-33-48-54 25
05/08/2007	16-24-41-43-54 36
05/04/2007	04-09-20-45-55 34
05/01/2007	11-16-31-52-53 42
04/27/2007	05-07-26-38-56 15
04/24/2007	08-10-35-36-43 14
04/20/2007	01-09-10-23-53 40
04/17/2007	01-04-11-31-47 37
04/13/2007	11-14-21-25-26 33
04/10/2007	07-15-16-19-28 10
04/06/2007	24-32-34-36-39 6
04/03/2007	16-26-33-34-46 38
03/30/2007	15-23-37-48-53 22
03/27/2007	18-25-34-35-42 6
03/23/2007	18-21-35-51-53 36
03/20/2007	07-21-46-49-55 15
03/16/2007	17-25-36-40-43 9
03/13/2007	07-11-16-38-49 35
03/09/2007	10-13-25-42-43 30
03/06/2007	16-22-29-39-42 20
03/02/2007	14-21-33-35-51 43
02/27/2007	18-31-44-45-48 18
02/23/2007	03-18-21-38-50 43
02/20/2007	01-09-26-46-51 11
02/16/2007	17-35-40-46-48 41
02/13/2007	03-09-24-29-41 41
02/09/2007	32-39-46-48-49 41
02/06/2007	16-21-35-36-46 38
02/02/2007	22-33-35-40-53 15
01/30/2007	14-18-44-52-56 25
01/26/2007	16-17-36-49-54 14
01/23/2007	03-05-15-26-53 35
01/19/2007	04-28-30-31-35 17
01/16/2007	04-08-15-33-52 10
01/12/2007	12-14-26-40-42 22
01/09/2007	07-11-26-38-54 13
01/05/2007	02-12-44-46-51 6
01/02/2007	09-10-38-51-53 1
12/29/2006	03-04-10-39-50 29
12/26/2006	07-12-25-44-53 3
12/22/2006	05-12-15-25-34 43
12/19/2006	09-32-37-42-48 7
12/15/2006	06-07-17-28-40 39
12/12/2006	20-30-31-35-49 23
12/08/2006	01-15-29-32-45 8
12/05/2006	06-09-13-43-46 45
12/01/2006	16-22-23-37-53 35
11/28/2006	07-14-24-41-56 7
11/24/2006	14-35-40-47-48 35
11/21/2006	07-13-20-42-47 9
11/17/2006	05-19-25-30-50 42
11/14/2006	09-20-24-25-36 23
11/10/2006	11-42-52-53-55 28
11/07/2006	13-22-33-51-52 42
11/03/2006	08-10-22-25-55 22
10/31/2006	05-34-40-45-46 21
10/27/2006	15-22-26-30-32 31
10/24/2006	05-25-41-48-51 35
10/20/2006	09-13-23-29-54 34
10/17/2006	06-18-20-28-38 37
10/13/2006	24-27-42-47-50 8
10/10/2006	14-30-35-40-43 2
10/06/2006	01-11-20-21-46 18
10/03/2006	06-19-32-33-40 39
09/29/2006	03-25-43-45-55 40
09/26/2006	03-06-38-42-45 30
09/22/2006	07-12-17-22-43 16
09/19/2006	02-19-44-45-56 43
09/15/2006	06-26-33-39-55 1
09/12/2006	03-16-25-30-44 42
09/08/2006	09-17-34-52-53 2
09/05/2006	01-32-36-42-53 4
09/01/2006	05-06-51-53-55 12
08/29/2006	15-25-37-38-52 4
08/25/2006	17-24-35-46-54 33
08/22/2006	03-04-05-07-36 16
08/18/2006	05-12-13-46-50 10
08/15/2006	10-12-22-44-48 16
08/11/2006	14-16-38-40-49 29
08/08/2006	01-05-13-18-33 30
08/04/2006	02-24-31-50-55 44
08/01/2006	14-29-32-43-49 14
07/28/2006	02-13-23-32-35 4
07/25/2006	07-21-24-41-51 10
07/21/2006	18-26-35-36-43 24
07/18/2006	12-13-29-49-52 20
07/14/2006	13-25-26-28-56 39
07/11/2006	05-14-34-36-52 42
07/07/2006	07-15-27-46-56 39
07/04/2006	09-15-31-42-45 41
06/30/2006	20-40-46-48-54 27
06/27/2006	02-14-20-29-44 32
06/23/2006	13-17-24-34-56 24
06/20/2006	11-21-37-53-54 12
06/16/2006	27-30-36-38-45 13
06/13/2006	01-20-23-24-33 29
06/09/2006	08-17-18-26-47 37
06/06/2006	05-29-35-52-53 9
06/02/2006	03-10-18-36-38 41
05/30/2006	02-13-28-34-45 36
05/26/2006	12-14-20-47-48 24
05/23/2006	17-21-28-48-54 1
05/19/2006	05-12-31-51-56 1
05/16/2006	07-24-40-48-50 15
05/12/2006	06-36-39-45-52 45
05/02/2006	07-11-22-27-31 33
04/28/2006	16-29-32-36-55 12
04/25/2006	01-20-32-37-39 9
04/21/2006	02-04-07-27-41 4
04/14/2006	08-10-18-29-33 10
04/11/2006	02-12-45-46-56 20
04/07/2006	01-18-31-46-52 37
04/04/2006	09-25-48-51-56 7
03/31/2006	04-07-19-50-52 15
03/28/2006	14-18-35-39-49 14
03/24/2006	01-02-17-47-49 19
03/21/2006	04-16-17-28-31 8
03/17/2006	08-11-23-48-52 5
03/14/2006	27-28-30-42-50 22
03/10/2006	04-17-18-51-54 31
03/07/2006	15-27-36-38-42 32
03/03/2006	25-29-38-39-46 4
02/28/2006	02-04-35-36-48 22
02/24/2006	03-05-12-16-34 27
02/21/2006	14-23-27-36-45 36
02/17/2006	16-25-31-43-46 28
02/14/2006	27-36-43-49-54 33
02/10/2006	24-39-40-43-46 2
02/07/2006	02-16-25-30-48 26
02/03/2006	29-31-32-41-52 42
01/31/2006	01-35-53-54-56 44
01/27/2006	02-07-08-18-29 46
01/24/2006	31-34-36-51-55 4
01/20/2006	18-22-28-44-53 46
01/17/2006	24-32-37-39-40 44
01/13/2006	05-21-27-44-53 36
01/10/2006	07-27-32-37-38 30
01/06/2006	08-11-28-37-53 12
01/03/2006	15-19-20-32-38 21
12/30/2005	01-03-14-30-52 10
12/27/2005	11-24-27-49-55 23
12/23/2005	10-37-39-49-54 8
12/20/2005	06-20-23-40-56 36
12/16/2005	14-25-26-31-56 17
12/13/2005	09-10-12-22-41 4
12/09/2005	14-15-31-32-43 20
12/06/2005	06-10-26-30-33 16
12/02/2005	03-12-21-38-44 45
11/29/2005	07-08-47-51-52 5
11/25/2005	05-25-31-33-34 41
11/22/2005	09-22-37-41-43 30
11/18/2005	08-18-21-42-46 11
11/15/2005	02-04-05-40-48 7
11/11/2005	09-14-34-50-51 40
11/08/2005	08-16-21-25-27 16
11/04/2005	07-09-41-53-54 38
11/01/2005	05-18-21-28-36 20
10/28/2005	08-17-25-28-53 1
10/25/2005	07-12-18-31-55 30
10/21/2005	11-17-28-29-36 42
10/18/2005	03-12-16-32-33 15
10/14/2005	06-20-24-25-34 44
10/11/2005	24-30-42-53-54 20
10/07/2005	02-04-23-27-36 37
10/04/2005	12-24-28-29-36 41
09/30/2005	01-03-14-30-52 10
09/27/2005	14-17-26-27-28 5
09/23/2005	06-07-20-41-51 38
09/20/2005	35-36-40-42-52 45
09/16/2005	05-16-41-46-50 1
09/13/2005	13-24-44-48-52 30
09/09/2005	15-28-43-51-52 11
09/06/2005	01-08-27-31-50 40
09/02/2005	01-04-14-45-53 33
08/30/2005	19-32-42-49-56 29
08/26/2005	05-20-38-47-54 35
08/23/2005	06-07-08-13-40 12
08/19/2005	02-13-18-36-46 36
08/16/2005	09-15-20-24-55 3
08/12/2005	08-37-38-45-54 21
08/09/2005	13-35-36-43-52 5
08/05/2005	03-05-48-50-53 4
08/02/2005	17-22-39-50-52 46
07/29/2005	04-16-23-25-40 22
07/26/2005	01-10-18-29-55 8
07/22/2005	07-18-27-35-54 34
07/19/2005	07-13-48-51-54 11
07/15/2005	09-13-25-36-48 2
07/12/2005	05-17-32-39-53 36
07/08/2005	09-23-45-48-50 3
07/05/2005	22-38-48-50-55 29
07/01/2005	14-25-41-42-50 40
06/28/2005	02-20-37-43-46 4
06/24/2005	14-43-44-50-56 7
06/21/2005	09-13-40-46-50 30
06/17/2005	16-35-40-49-50 34
06/14/2005	01-10-29-48-49 36
06/10/2005	14-29-31-37-50 34
06/07/2005	07-14-28-46-47 25
06/03/2005	04-06-14-28-47 42
05/31/2005	05-13-22-37-38 11
05/27/2005	07-17-22-34-50 24
05/24/2005	09-28-39-40-45 24
05/20/2005	03-06-27-40-44 9
05/17/2005	07-09-10-29-44 17
05/13/2005	21-23-27-33-39 8
05/10/2005	11-25-38-40-42 40
05/06/2005	07-12-25-50-51 19
05/03/2005	07-17-42-46-52 47
04/29/2005	02-05-07-28-46 21
04/26/2005	18-22-33-34-42 16
04/22/2005	23-25-43-46-49 26
04/19/2005	05-06-14-42-47 3
04/15/2005	25-26-37-39-49 29
04/12/2005	15-20-43-47-50 24
04/08/2005	05-13-17-33-35 35
04/05/2005	04-19-45-51-52 22
04/01/2005	11-19-28-32-45 10
03/29/2005	07-17-18-30-42 38
03/25/2005	11-18-19-45-49 2
03/22/2005	06-11-27-37-43 34
03/18/2005	02-09-28-29-48 33
03/15/2005	14-26-27-34-44 27
03/11/2005	18-19-31-35-36 17
03/08/2005	08-14-15-22-31 13
03/04/2005	07-10-13-35-39 21
03/01/2005	01-08-18-39-48 1
02/25/2005	04-13-37-38-50 24
02/22/2005	15-18-28-41-45 27
02/18/2005	01-19-31-35-42 34
02/15/2005	03-16-20-21-38 10
02/11/2005	06-14-21-24-50 28
02/08/2005	08-11-14-23-25 21
02/04/2005	03-12-14-30-52 34
02/01/2005	03-17-21-42-44 35
01/28/2005	25-31-39-47-52 43
01/25/2005	02-10-21-25-45 22
01/21/2005	17-27-39-40-41 21
01/18/2005	10-23-28-39-51 5
01/14/2005	15-19-24-40-47 50
01/11/2005	02-23-24-35-45 18
01/07/2005	02-08-14-15-51 38
01/04/2005	03-06-07-12-32 30
12/31/2004	10-14-45-47-51 20
12/28/2004	18-29-32-38-43 50
12/24/2004	09-20-22-41-42 10
12/21/2004	07-22-27-31-38 12
12/17/2004	16-34-38-42-47 1
12/14/2004	14-27-32-34-40 2
12/10/2004	22-23-37-42-47 15
12/07/2004	01-19-22-32-49 29
12/03/2004	12-32-37-41-52 13
11/30/2004	10-20-22-28-52 4
